Question,Answer
"사용실적보고서 인건비 입력 시 시스템 오류 발생에 따른 문의 - 안녕하세요. 사용실적보고서 작성 중 오류가 발생하여 문의드립니다. '연구비 사용 명세서 → 인건비 사용실적 → 신진연구인력 인건비 → 엑셀 업로드' 에서 행 추가 및 엑셀 업로드 방식 모두 시도하였으나, 특정 인원의 데이터를 입력할 경우 아래와 같은 오류가 발생하며 저장이 되지 않습니다. 반면, 다른 인원의 데이터는 정상적으로 저장됩니다. 오류 메시지: SqlMapClient operation; uncategorized SQLException for SQL []; SQL state [null]; error code [0]; Error: executeQueryForObject returned too many results.; nested exception is java.sql.SQLException: Error: executeQueryForObject returned too many results. 해당 오류의 원인과 해결 방법에 대해 안내 부탁드립니다. 감사합니다.",안녕하세요. BK21사업팀입니다. 해당 엑셀 파일을 tan@nrf.re.kr 로 보내주시기 바랍니다.
"참여교수 국제 학술대회 참가 비용 지원 관련 추가 문의 (16351 문의글 관련) - 안녕하세요. 참여교수 국제 학술대회 참가 비용 지원과 관련하여 16351 문의글에서 말씀드린 바와 같이 아래와 같은 규정을 확인하였고 실제 경비 집행에 대해서는 구체적인 언급이 없는 상황입니다.
'참여교수는 지도하고 있는 참여대학원생이 발표논문의 저자로서 국제학술대회에 참여하는 경우에 한하여 지원할 수 있다.'
다음은 문의사항입니다.
1. 발표논문의 저자이자 국제 학술대회에 참여하는 참여대학원생의 참가 등록비, 운임비 등 여비를 참여교수의 다른 연구과제에서 지원받을 경우 참여교수의 경비를 BK21사업비에서 지원받을 수 있는지, 참여대학원생의 경비 역시 BK21사업비에서 지원받아야 참여교수 경비까지 지원받을 수 있는 것인지 문의드립니다.
2. A 학술대회 개최지의 인접 국가에서 개최되는 B 학술대회의 기간이 겹쳐 두 학술대회 모두 참가한다고 하였을 때, A 학술대회에서 논문을 발표하는 참여대학원생①의 경우 출장비를 참여교수의 다른 연구과제에서 지원받고 참여대학원생②의 경우 A 학술대회는 단순 참가이지만 B 학술대회에서는 발표를 진행하며 출장비를 BK21사업에서 지원받습니다. 이 경우 참여교수의 한국 ↔ A 학술대회 개최 국가 왕복 운임비 등 출장비를 BK21사업비에서 지원받을 수 있을지 문의드립니다. (당연히 출장비는 중복 지원받지 않습니다.)
3-1. 2번에서처럼 A, B 학술대회를 모두 참가한다고 하였을 때 참여인력의 국가 간 이동 운임비를 지원받을 수 있는지, 한국 출국/입국 왕복에 대해서만 지원받아야 하는지 문의드립니다.
3-2. 역시 참여교수의 국가 간 이동 운임비를 지원받을 수 있는지 문의드립니다.","안녕하십니까

BK21사업팀입니다.

1. 이전 답변을 확인하여 주시기 바랍니다.

2. 가능합니다(1번 답변과 동일).

3. 일정이 연속되었다면 사유서 및 증빙자료를 구비하시기 바랍니다.
(개인일정에 대한 지원은 불가)

감사합니다."
"해외 장단기 연수 비용 문의 - 안녕하세요. 참여 대학원생의 해외 장단기 연수 비용 시 비자발급 비용 지원 가능할까요? 가능하다면 예산항목 중 어느것으로 해야할까요? 그럼, 주신답변에 미리 감사드립니다.","안녕하십니까 BK21사업팀입니다, 비자발급 비용은 교내 여비 규정을 준용하시어 지원하시기 바랍니다. 감사합니다."
"재문의- D2비자가 아닌 다른비자의 외국인 대학원생 참여일자 - 16338번 문의글에서 위와 같은 답변을 받았습니다. 답변대로 사유서와 사증발급확인서가 있으면 3월1일자 참여가 가능하다는 말일까요?(추후 건강보험~, 4대보험~ 서류발급 후 구비예정) 아니면 4대보험가입내역서 발급시점으로 참여하는게 맞을까요? 다른 문의글을 봤을때 후자라고 답변하신걸 봤는데 정확한 답변 부탁드립니다. 미리 답변에 감사드립니다.",안녕하십니까 BK21사업팀입니다. D-2비자가 아닌 F-4 비자의 경우에는 4대보험가입내역확인서 및 건강보험자격득실확인서에서 확인 가능한 참여요건 충족 일자부터 참여 가능합니다. 감사합니다.
"중간 보고서 서식 관련 문의 - 안녕하세요. 중간보고서 서식과 관련되어 추가 공지가 한달째 없어 글 남깁니다. 다른 답변들을 확인하더라도, 추후 공지를 기다려달라는 답변을 해주고 계신데, 혹시 언제쯤... 추후 공지가 나올까요? 대략적인 일정이라도 알려주시면 감사하겠습니다.","안녕하십니까

BK21사업팀입니다.

중간평가 관련 일정은 추후 공지 및 공문 등을 확인하여 주시기 바랍니다.

감사합니다."
"연구활동 및 산학협력활동 지원비 집행 기준 문의 - 안녕하세요. 4단계 두뇌한국(BK)21 사업 예산편성 및 집행 기준에 대해 문의드립니다. 사업 예산편성 및 집행기준 제 17조 3항에서 ""교육연구단은 산학협력과 관련된 창업 및 취업지도, 산업체와의 산학협력 공동활동비 등 관련 경비를 집행할 수 있다.""고 되어 있습니다. 산업체와의 산학협력 공동활동비 등 관련 경비라는 것이 구체적으로 어느 것을 의미하는지 문의드립니다. 1. ""산업체와의 산학협력 공동활동비""는 취업, 창업지도와 연계된 산업체와의 활동이어야만 경비 사용을 할 수 있나요? 2. 교육연구단과 산업체와의 연구협력 방안 회의, 산업체 수요 맞춤 인력 양성 토론회 같은 활동 중 발생한 경비(음료, 다과 등)에 대해 산학협력 공동활동비로 집행이 가능한가요?","안녕하세요. BK21사업팀입니다. 1. 산업체와의 창업지도 워크숍, 산업체 방문, 견학, 회의, 행사개최, 전문가 초청 등 모든 협력 활동의 관련 경비로 집행 가능합니다. 2. 가능합니다."
"[연구비사용실적관리] 기타반납액 작성관련 - 안녕하세요. 연구비사용실적관리 내 '연구비 사용 명세서' 작성 중 기타반납액 기재와 관련하여 문의드립니다. 2025년도 사업비 사용한 금액 중 일부 건에 대해 여입 또는 환불 처리가 발생하였습니다. 여입 처리 건: 학회등록비 중 추가 옵션(식비)에 해당하는 금액을 여입 처리하였습니다. 환불 처리 건: 생성형 AI 사용료를 청구하였으나, 한 달 뒤(사업기간 종료 후) 일부 서비스 오류로 인해 미사용된 금액을 환불받았습니다. 환불(청구 미진행) 건: 생성형 AI 사용료 취소 요청으로 환불된 건으로, 해당 건은 청구 자체를 진행하지 않아 실적보고서에는 포함하지 않았습니다. 위 3가지 건 중 1번과 2번은 세부비목별 내역서에 각각 여입 금액 및 환불 금액을 마이너스(-)로 작성하였으며, 3번 건은 청구를 진행하지 않아 별도로 작성하지 않았습니다. 이와 같은 경우, 1번과 2번 금액을 기타반납액에도 별도로 기재해야 하는지 문의드립니다.",안녕하십니까. BK21사업팀입니다. 해당 사항은 연구정산총괄팀으로 유선문의 바랍니다. 감사합니다.
연회비 관련 문의드립니다. - 안녕하세요. 국내학회 연회비 문의드립니다. 연회비 + 회원등록비가 비회원등록비보다 저렴한데 연회비 지원이 가능할까요? 감사합니다.,"안녕하십니까 BK21사업팀입니다. 원칙은 일회성 참가비에 한하여 지원이 원칙입니다. 단, 논문게재를 위하여 반드시 연회비 납부가 필수 사항인 경우 또는 1회성 논문게재료 납부 보다 연회비가 저렴한 경우에는 사유서 및 증빙자료를 구비하여 주시기 바랍니다. 감사합니다."
"신진연구인력 인건비 BK종합시스템 입력 - 안녕하세요 혁신인재양성사업에 참여하고 있는 교육연구단입니다. BK 종합정보시스템 현행화와 관련하여 신진연구인력(박사후연구원) 인건비 지급에 대해서 기입하려고 합니다. 인건비 지급내역에 지급금액을 계약서상 금액으로 입력하면 되는지, 아니면 실제로 4대보험 기관부담금 등 포함하여 지출결의서에 실제로 해당 비목에서 지출된 금액을 기입하면 되는지 문의드립니다.",안녕하십니까 BK21사업팀입니다. 실제 지출된 금액을 기입바랍니다. 감사합니다.
해외 연구년 참여교수 국내개최 국제학술대회 참가 문의 - 안녕하세요. 2026년 해외 연구년중인 참여교수가 국내에서 개최되는 국제학술대회에 참가하고자 합니다. 항공료를 지원받고자 하는데 편도만 지원이 가능할까요? 왕복 티켓이 편도보다 훨씬 저렴하여 왕복으로 결제하려고 하는데 항공사에 문의해보니 편도 금액이 얼마인지 세부내역은 알수가 없다고 합니다. 편도 지원이 가능하다면 왕복 결제금액의 절반으로 지원해도 될까요? 감사합니다.,"안녕하십니까 BK21사업팀입니다. 해당 참여교수님이 참여교수 자격을 유지하고 있다면 BK21사업 예산편성 및 집행기준 제18조(국제화경비)에 따라 가능합니다(연구년으로 참여종료되었다면 지원 불가). (해당 학술대회가 국제(학술)대회 인정기준을 충족하고, 지도하고 있는 학생이 발표논문의 저자로서 해당 국제학술대회에 참여) 사유서 및 증빙자료를 구비하시기 바랍니다. 감사합니다."
"신청서 입력 시 참여 교원 자동 입력 안됨 - 안녕하세요, 지금 신청서 입력을 진행하고 있는데, 종합정보 관리시스템에서 사전 신청에는 모든 교원이 입력이 되어있습니다. 본 신청서 작성 시에, 교육연구단 참여교수 현환 탭에서, 사전입력정보생성하기를 누르면 1명이 빠진 값이 불러와 집니다. 입의로 행 추가하는 기능도 없는듯 한데, 어떻데 진행해야 할지요?","안녕하십니까

BK21사업팀입니다.

해당 사항 유선으로 안내된 것으로 확인됩니다.

감사합니다."
"[신규사업] 신청시 참여대학원생 자격 문의 - 안녕하세요? 이번 AI+X를 준비하고있습니다. 참여대학원생 중 회사를 퇴사하고 전일제 학생으로 학교를 다니고 있는데 전 회사가 아직 국민연금 처리를 하지 못해서 현재 4대보험 가입 내역확인서를 발급받으면 국민연금이 직장가입자로 나옵니다. 실제로는 회사를 다니지 않아서 전일제 대학원생인데.. 이런경우에는 지도교수, 연구단장님 확인을 받은 확인서를 구비 후 추후 참여대학원생 자격을 증명할 수 있는 서류를 구비하면 참여대학원생을 할 수 있을까요? 아니면 아예 참여를 하지 못하는걸까요?",안녕하십니까 BK21사업팀입니다. 해당 사항은 유선(042-869-6449)으로 문의바랍니다. 감사합니다.
"[Q&A] 참여교수 국제 학술대회 참가 비용 지원 관련 문의 - 안녕하세요? 참여교수 국제 학술대회 참가 비용 지원과 관련하여 문의드립니다. '참여교수는 지도하고 있는 참여대학원생이 발표논문의 저자로서 국제학술대회에 참여하는 경우에 한하여 지원할 수 있다.' 위와 같은 규정을 확인하였습니다. 발표논문의 저자이자 국제 학술대회에 참여하는 참여대학원생의 참가 등록비, 운임비 등 여비를 참여교수의 다른 연구과제에서 지원받을 경우 참여교수의 경비를 BK21사업비에서 지원받을 수 있는지, 참여대학원생의 경비 역시 BK21사업비에서 지원받아야 참여교수 경비까지 지원받을 수 있는 것인지 문의드립니다. 감사합니다.","안녕하십니까. BK21사업팀입니다. 참여대학원생이 타 과제에서 지원받더라도 참여교수에게 지원 가능하나, 사유서 구비가 필요합니다. (계획(안) 작성시 학생이 지원받는 해당 지원 예산을 포함하여 작성하시고, 교육연구단(팀) 예산이 아닌 타 비목에서 집행하는 사유 구비) 또한, 사전 내부문서(계획(안) 등) 작성 시 참여교수가 지도학생과 함께 참여하는 사실을 명시하시고, 결과보고에도 반영하여 주시기 바랍니다. 참여교수가 해당 학생의 지도교수이며, 참여교수 단독 참여가 아닌 학생과 함께 참여함을 증빙할 수 있는 서류를 구비하시기 바랍니다. 감사합니다."
"Q&A - 30일 초과 장기연수 연구장학금 일할 지급 관련 건 - 안녕하세요. 30일을 초과하는 장기연수 시 출국일을 기준으로 연구장학금 일할 계산 후 지원 중단하는 것으로 알고 있습니다. 본 사업단의 박사과정생이 코넬 대학으로부터 4월18일부터 5월 22일까지(35일) 초청을 받아 해외장기연수 대상으로 선정되었습니다. 그런데 해당 학생이 4월12일부터 4월18일까지 학회에 참석하여 구두발표를 진행하고 코넬 대학으로 바로 이동할 예정이라서 출국일이 4월12일입니다. 이런 경우, 학회 참석을 위해 출국하는 4월 12일을 기준으로 일할 계산 후, 지원 중단을 진행해야 하는지, 실제 해외장기연수기간, 즉 초청장의 초청일자 4월18일 기준으로 일할 계산 후, 지원 중단을 진행해야 하는 것인지 궁금합니다. 감사합니다.",안녕하세요. BK21사업팀입니다. 출국일 기준입니다.
"온라인 기반 해외저널 논문의 실적 인정 가능 여부 문의 - 안녕하세요. 온라인 저널 논문의 연구실적(사업 실적) 인정 기준과 관련하여 문의드립니다. SSCI 등재 해외 저널 중 온라인 기반으로 출판되는 경우, 권(Volume)·호(Issue) 없이 DOI 기반으로 논문이 제공되는 사례가 있습니다. 이와 같이 DOI만으로 식별되는 온라인 저널 논문의 경우에도 연구실적(사업 실적)으로 인정이 가능한지 확인 부탁드립니다. 감사합니다.","안녕하세요. BK21사업팀입니다. 25년 12월에 실시했던 성과 조사 분석을 위한 성과자료 시스템 입력 기준을 먼저 말씀드리면, 당해연도의 인쇄본으로 출판된 논문만 성과로 인정(단, Online 출판만 하는 저널의 경우는 예외)했습니다. 단 평가를 위한 성과나 실적 인정 기준은 평가마다 다를 수 있으니, 공고되는 평가의 지표, 항목 등을 참고해 주시기 바랍니다."
"해외 파견 인건비 관련 질의 - 안녕하세요, BK 21 사업에 참여 중인 대학원생입니다. IITP와 서강대학교에서 주관하는 해외 파견 사업에 선정되어 26.08~27.02에 해외 파견을 다녀오는데, BK 21 사업에 참여 인원으로 인건비를 받을 수 있을 지 문의 드립니다. 감사합니다.",안녕하세요. BK21사업팀입니다. 연수기간이 30일을 초과하는 경우 연구장학금 지원 불가합니다.
[사업단전담직원 관련 문의] 연구단에서 사업단 전담 계약직원을 추가로 1명 고용할 예정입니다. 기존 있던 직원과 가족관계여도 무관한지 문의드립니다.,안녕하세요. BK21사업팀입니다. 대학의 채용 규정 및 기준을 준용하시기 바랍니다.
"외국인 대학원생 참여자격 확인 - 현재 외국인 대학원생을 과제에 참여인력으로 등록하고자 합니다. 비자연장을 위해 신청한 상태로 만료 한달전 이미 비자연장 프로세스를 신청 (3월 초)하여 진행중인 상태입니다. (만료일: 3월 31일) 이로 인해 4대보험가입 증빙을 할 수 없는데, 과제 참여가 가능한지 판단이 어려워 문의드립니다.","안녕하세요. BK21사업팀입니다. 전일제 여부에 부합하는지 확인해야 합니다. 4대보험 가입내역서 및 건강보험 자격득실 확인서를 통해 자격을 검증해야 하지만, 외국인등록증 상 유학비자(D-2) 및 체류기간(총 체류기간 내 참여기간 포함)을 확인할 수 있는 경우 대체 가능합니다."
"외국인 학생 참여시작일 확인 - 안녕하세요? 미래수의학선도교육연구단입니다. 외국인 학생관련 문의드립니다. [사증발급확인서] - 체류자격:D-2-4 - 체류기간 1년 - 사증 유효기간: 2026.05.24 [외국인등록증] - 체류자격: D-2 - 체류기간: 2026.4.9~2027.03.31 위 내용과 같을 경우, 해당 학생의 참여 시작일을 1) 2026.03.01~ 부터 참여시작이 가능 할 지 2) 2026.04.09 ~ 부터 참여 시작이 가능할 지 문의드립니다.","안녕하십니까 BK21사업팀입니다. 외국인등록증 발급 이전 체류기간에 대해 체류자격 및 참여요건 충족 확인이 가능하다면(사증발급확인서) 참여요건을 충족하는 기간 모두 참여 가능하나(사유서 및 사증발급확인서 추가 구비), 해당 사항이 불가하다면 참여요건 충족을 확인할 수 있는 기간부터 참여가 가능합니다. 감사합니다."
[Q&A] 학회 특별세션 결제 관련 문의 - 안녕하세요. 기분 좋은 하루보내시길 바랍니다. 참여교수 1명 국내 학회 참석 예정 / 사전등록비용 bk비용으로 결제 완료. 국내 학회에서 진행되는 특별세션 신청하여 비용을 납부하려고 합니다 (100만원). bk연구단 연구주제로 특별세션 진행할 예정이고 연구단 참여교수님과 외부 소속 연구원입니다. 연구활동 및 산학협력활동 지원비로 특별세션 비용 납부가능할까요? 감사합니다.,"안녕하세요. BK21사업팀입니다. 가능합니다.

(추가 답변) 참여인력에 대한 지원은 가능하지만 미참여인력에 대한 지원은 불가합니다. 감사합니다."
"참여교수 자격 재문의 - 16340 답변 관련하여 재문의 드립니다. 그러면 BK21 사업 수행을 하지 않는 '다'학과 소속이라도 겸직 발령된 '가'(미래인재양성사업), '나'(혁신인재양성사업)' 학과가 BK21 사업 수행학과일 때, 해당 겸직도 '소속'으로 간주되어 A 교수가 둘 중에 한 학과의 BK21 사업에 참여할 때 참여자격을 충족할 수 없는건가요? 만약 '다' 학과의 전임교원 A교수가 '가', '나'학과 중 하나의 겸직일 경우 겸직하는 학과의 BK21 참여교수로 참여할 수 있는지 확인 부탁드립니다.","안녕하십니까. BK21사업팀입니다. 다학과(BK21 미수행)에 전임교수이며, 가 또는 나 학과 중 하나의 겸직이라면 BK21 참여 가능합니다. (단, 미래인재양성사업의 경우에는 전임/겸임 비율 확인 필요) 추가 문의사항은 유선(042-869-6446)으로 문의바랍니다. 감사합니다."
"[Q&A] 신진연구인력, 대리체제 및 연구비 집행 관련 문의 - 안녕하십니까? BK21 사업 운영과 관련하여 아래와 같이 문의드립니다. 1. 신진연구인력 계약기간 및 계약 시작 시점 관련 BK21 사업 지침에 따르면 신진연구인력의 계약기간은 '1년 이상 2년 이내'로 규정되어 있는 것으로 확인하였습니다. 기존 신진연구인력이 2026.04.30.자로 계약 종료 예정입니다. 그래서 신규 신진연구인력 1인을 채용 예정인데, 계약기간을 2026.09.01 ~ 2027.08.31 (1년)으로 채용이 가능할까요? 위와 같이 사업연도 시작 시점(3월)이 아닌 9월부터 계약을 시작하는 경우에도 지침상 문제없이 채용이 가능한지 궁금합니다. 2. 연구년에 따른 교육연구단(팀) 대리체제 운영 관련 대리체제 운영 시 책임연구자(단장/팀장)와 대리자의 역할 및 권한 범위와 연구비 집행, 참여인력 관리, 사업 운영 등 주요 사항에 대해 대리자가 수행 가능한 범위 및 책임 주체에 대해 궁금합니다. 3. 협약 이전 연구비(카드) 사용 가능 여부 및 증빙 관련 교수님께서 협약 이전(2026.03.03.)에 연구비카드로 결제 진행하셨습니다. 4월에 사업비가 입금이 되어 집행 처리가 가능한 상황인데, 위와 같은 경우 협약 이전 사용 건에 대해 처리가 가능한지 여부와 가능하다면 사유서 등 추가로 필요한 증빙자료가 있는지 문의드립니다.","안녕하십니까. BK21사업팀입니다. 1. 가능합니다. 2. 대리체제의 경우, 교육연구단(팀)장 역할 수행이 어렵기에 대리체제를 운영하는 것으로 보입니다. 내부결재 등 대리체제 참여교수님께서 진행하는 것이 적절합니다. 3. 3/1 사업개시이므로 소급 적용 가능합니다. 세부절차 등은 대학 산학협력단 등에 확인하여 주시기 바랍니다. 감사합니다."
"참여교수 자격 문의 - 안녕하세요. BK21 사업 관련 참여교수 요건에 대해 문의드립니다. 신임교원 A는 '다' 학과 전임교원이며, '가' 및 '나' 학과에 겸직 발령된 상태입니다. '가' 학과는 미래인재양성사업, '나' 학과는 혁신인재양성사업을 수행 중입니다. 이 경우, 신임교원 A가 전공분야에 따라 '가' 또는 '나' 학과의 BK21 참여교수로 참여 가능한지 문의드립니다.","안녕하십니까 BK21사업팀입니다. 미래인재양성사업 수행학과 비참여교수(전임)는 타 미래인재양성사업 및 혁신인재양성사업 참여 불가합니다. 혁신인재양성사업 수행학과 비참여교수(전임, 겸임)은 미래인재양성사업 참여 불가합니다. 감사합니다."
"BK21 참여대학원생 자격 기준 관련 문의(4대 보험 가입 이력 관련) - 안녕하십니까. 두뇌한국(BK)21 사업 관련 참여대학원생 자격 기준에 대하여 문의드리고자 합니다. 먼저, 「4단계 두뇌한국21 사업관리 운영지침(2025.12.24.)」 제11조(참여대학원생)에 따르면, 참여대학원생은 '참여교수가 지도하는 학생 중 신청 학과(부)에 소속되어 주 40시간 이상 교육 및 연구에 전념하는 전일제 대학원생으로서, 고용보험, 건강보험(지역가입자 제외), 국민연금 및 산재보험 등 4대 보험에 가입되어 있지 않은 사람'으로 규정되어 있습니다. 이와 관련하여, 아래와 같은 사례의 대학원생들이 BK21 사업 참여가 가능한지 여부를 문의드립니다. 해당 대학원생 A~D는 모두 현재 미취업 상태의 전일제 대학원생으로 연구 및 학업에 전념하고 있으나, 과거 또는 현재 4대 보험 중 일부 가입 이력이 있어 참여자격 판단에 어려움이 있어 문의드립니다. ■ 사례별 현황 A 학생: 국민연금 지역가입자(자격취득일 2021.03.), 건강보험 지역세대주(자격취득일 2021.03.) / B 학생: 국민연금 지역가입자(자격취득일 2019.08.), 건강보험 직장피부양자(자격취득일 2025.05.) / C 학생: 국민연금 지역가입자(자격취득일 2024.03.), 건강보험 지역세대주(자격취득일 2026.01.) / D 학생: 국민연금 지역가입자(자격취득일 2025.01.), 건강보험 직장피부양자(자격취득일 2015.02.) ■ 문의사항: 상기 A~D 학생의 경우, 현재 미취업 상태임에도 불구하고 국민연금(지역가입자) 또는 건강보험(지역세대주/직장피부양자) 가입 이력이 있는 경우, BK21 참여대학원생으로 인정이 가능한지 여부를 문의드립니다. 만약 참여 가능 여부 판단을 위해 추가적인 소명이 필요하다면, 미취업 상태를 증빙하기 위한 서류 및 4대 보험 관련 자격 상태를 확인할 수 있는 자료 등 어떤 서류를 준비해야 하는지 안내해 주시면 감사하겠습니다.","안녕하십니까. BK21사업팀입니다. A~D 모두 참여가능합니다. 단, 창업 여부 등을 추가로 확인하여 주시기 바랍니다(사업참여 전 창업자는 BK21사업 참여 불가). 감사합니다."
"외국인 참여대학원생 참여자격 문의 - 안녕하세요. 이번학기 입학을 한 외국인 대학원생의 체류자격이 D-2가 아닌 F-4 입니다. 아직 외국인등록증 발급이 되지 않아 4대보험가입내역확인서 발급이 안되는 상태이며, 해당학생의 사증발급확인서를 받아 26.2.11 일자로 비자발급이 된 것을 확인하였습니다. 이 경우, 이 학생은 사증발급확인서를 구비한 상태로 추후 4대보험가입내역확인서를 발급받으면 26.3.1 일자로 참여가 가능할까요? 아니면 4대보험가입내역서를 발급받은 날을 참여시작일로 해야할까요? 이 학생은 입학일부터 현재까지 전일제로 학습 및 연구활동을 진행 중에 있습니다. 미리 답변에 감사드립니다. / 추가 질문: 사유서와 사증발급확인서를 구비한다면 4대보험, 건강보험 서류발급이 늦어져도 3월1일자로 참여 가능하다는 말씀인가요? 발급받을 수 있게되면 바로 발급받아 구비할 예정입니다.","안녕하십니까. BK21사업팀입니다. 원칙은 사업 참여 시 참여요건을 확인하여야 하며 매년 4/1, 10/1을 기준으로 4대보험가입내역확인서를 징구하여야 합니다. 외국인 유학생 중 D-2비자를 확인할 수 있는 경우에는 외국인등록증사본으로 대체 가능하나, 기재하여 주신 F-4비자의 경우에는 건강보험자격득실확인서 및 4대보험가입내역확인서를 구비하여야 합니다. 해당 참여대학원생이 참여요건을 충족하는 경우에는 사유서(서류 발급 지연에 대한 사유를 명확히 기재) 및 증빙자료(사증발급확인서)를 구비하여 주시고, 외국인등록증 발급 이후 건강보험자격득실확인서와 4대보험가입내역확인서를 추가 구비하여 주시기 바랍니다. 감사합니다."
"[BK21] 사업신청서 내 <제출증빙> 섹션 작성 방법 및 시스템 업로드 자료와의 중복 제출 확인 - 안녕하세요. 제4단계 BK21 사업 신청 준비 중, 제공된 사업신청서 한글 서식 내에 포함된 <제출증빙> 부분의 작성 방법과 관련하여 상세 확인이 필요하여 문의드립니다. 현재 연구비, 대표업적물, 특허/기술이전 실적 등은 시스템에 개별적으로 입력하고 증빙을 업로드하게 되어 있습니다. 본문 및 제출 증빙 탭에는 <제출증빙>이라는 표기되어 있습니다. 이에 대해 다음과 같이 질의합니다. 시스템 업로드 파일과의 중복 제출 여부: 시스템 실적 입력 탭에서 이미 입력 및 증빙 파일을 업로드 완료한 경우에도, 신청서 본문의 <제출증빙> 섹션에 동일한 증빙 자료를 양식에 맞춰 추가로 수록해야 하는지 궁금합니다. 감사합니다.",안녕하십니까 BK21사업팀입니다. 4단계 BK21사업 시범사업과 관련된 자료 작성은 BK21사업 공지사항을 확인하여 주시기 바랍니다. BK21 홈페이지 - 공지사항 - 시범사업 공고 - 첨부파일 - 본문 신청서 서식 참고바랍니다. 추가 문의 사항 또는 자세한 사항은 유선(042-869-6952)으로 문의바랍니다. 감사합니다.
종합정보관리시스템 KRI동기화 오류 문의 - 안녕하세요 종합정보시스템 참여교수관리 현행화 작업 중 최종학위가 KRI의 직급으로 동기화가 되지 않아 문의 드립니다. 교수님께서는 KRI내용 확인 하시고 어제 수정 하신 상태 입니다. 확인 부탁드립니다. 감사합니다.,"안녕하세요. BK21사업팀입니다. 시스템에 나오는 안내 문구인, 아래표의 [직급] 셀을 클릭하면 해당교수의 KRI의 직급으로 동기화됩니다. 이거 대로 해봐도 안된다는 말씀이시면, 042-869-6445 로 유선문의 부탁드립니다."
[교육연구단 홈페이지 관련] 안녕하세요. BK사업단(교육연구단) 홈페이지 관련하여 문의 드립니다. 현재 홈페이지에 기술상의 문제가 있어 홈페이지를 폐쇄해야 할 수 있는 상황입니다. 반드시 교육연구단 홈페이지를 운영해야 한다는 규정이 있나요? 규정상 가능하다면 홈페이지가 폐쇄되어도 괜찮은지 확인해 주시면 감사하겠습니다.,"안녕하세요. BK21사업팀입니다. 규정이 있습니다. 아래를 참고해 주시기 바랍니다. 4단계 BK21사업 관리 운영 지침 제61조(홈페이지 운영) ① 교육연구단의 장은 본 지침을 참고하여 정보공개, 사업성과 관리 및 홍보를 위한 홈페이지를 개설하여야 한다. ② 전문기관의 장은 교육연구단의 홈페이지 운영 상황을 평가에 반영할 수 있다."
"[16326건 추가 질문] 참여교수 겸임 문의 - 안녕하세요, 16326건 추가 질문입니다. 혁신인재양성 연구단 진행으로 융합학과(A)를 운영중에 있습니다. 혁신인재양성사업의 참여교수가 A학과 겸임 중입니다. A학과를 겸임하며, 추가 B학과 겸임을 고려하고 있는 상황입니다. 추가 겸임을 고려하는 B학과는 BK사업을 수행하지 않는 학과입니다. 추가 겸임을 하여도 현재 참여중인 혁신인재양성연구단의 참여교수로 문제가 없는지요, 감사합니다.",안녕하십니까 BK21사업팀입니다. B학과가 BK사업 수행학과가 아니라면 겸직 추가 가능합니다. 감사합니다.
"학회등록비 결제 및 국외출장 신청 관련 문의 - 안녕하세요. 최근 유류할증료가 급등하여, 9월 이후 개최되는 학회의 등록비 및 항공권을 미리 결제하는 경우가 많이 발생하고 있습니다. 이와 관련하여, 1. 현재 이번 학기(26년 1학기) 참여대학원생이나 다음 학기(26년 2학기)에는 연차초과자로 대상자에서 제외되는 경우 4월에 결제된 학회등록비나 항공권에 대해 5월에 집행을 해도 되는지 확인 후 답변 부탁드립니다. 2. 만약 불가한 경우, 카드 취소로 인한 항공권 및 등록비에 대한 수수료는 어떻게 처리를 해야하는지 답변 부탁드립니다.","안녕하십니까 BK21사업팀입니다. 1. 학회 개최 시점에 참여대학원생 신분을 유지하지 못하거나, 학회에 불참하는 경우 지원 불가합니다. 2. 취소수수료는 천재지변 또는 주최측의 일방적인 취소에 한하여 집행이 가능합니다(사유서 및 증빙자료 구비). 그 외 사유는 사업비에서 지원 불가합니다. 감사합니다."
국제 학술대회 등록비 및 멤버십 결제 문의 - 안녕하세요? 국제 학술대회 등록비 및 멤버십(회비 성격) 결제와 관련하여 문의드립니다. 등록비를 결제하는 과정에서 멤버십 결제가 필수인데 등록비 및 멤버십을 모두 국제화경비 항목으로 집행할 수 있을지 문의드립니다. 감사합니다.,"안녕하세요. BK21사업팀입니다. 국제학술대회 인정기준을 충족하며, 멤버십 가입이 참석을 위해 반드시 필요한 경우 사유서를 구비하여 집행 가능합니다."
